Month,Region,Units,Revenue
Aug,Zurich,265,12462
Sep,Zurich,205,9658
Sep,Geneva,137,6431
Sep,Basel,109,5124
Sep,Bern,128,6038
Sep,Zurich,148,6941
Sep,Geneva,107,5049
Sep,Basel,212,9967
Sep,Bern,103,4826
Sep,Zurich,220,10322
Sep,Geneva,111,5223
Sep,Basel,196,9229
Sep,Bern,128,5998
Sep,Zurich,207,9717
Sep,Geneva,144,6789
Sep,Basel,153,7177
Sep,Bern,176,8261
Sep,Zurich,159,7479
Sep,Geneva,195,9170
Sep,Basel,199,9350
Sep,Bern,344,16151
Oct,Zurich,198,9288
Oct,Geneva,161,7585
Oct,Basel,148,6942
Oct,Bern,188,8854
Oct,Zurich,214,10077
Oct,Geneva,232,10881
Oct,Basel,159,7466
Oct,Bern,112,5257
Oct,Zurich,114,5378
Oct,Geneva,228,10722
Oct,Basel,182,8543
Oct,Bern,184,8645
Oct,Zurich,229,10766
Oct,Geneva,219,10285
Oct,Basel,220,10357
Oct,Bern,225,10566
Oct,Zurich,111,5228
Oct,Geneva,159,7478
Oct,Basel,160,7518
Oct,Bern,33,1564
Nov,Zurich,115,5387
Nov,Geneva,178,8375
Nov,Basel,208,9781
Nov,Bern,199,9340
Nov,Zurich,232,10910
Nov,Geneva,208,9756
Nov,Basel,206,9686
Nov,Bern,113,5300
Nov,Zurich,229,10754
Nov,Geneva,192,9006
Nov,Basel,154,7240
Nov,Bern,133,6251
Nov,Zurich,134,6286
Nov,Geneva,112,5261
Nov,Basel,136,6408
Nov,Bern,212,9967
Nov,Zurich,120,5658
Nov,Geneva,133,6254
Nov,Basel,209,9839
Nov,Bern,420,19741
Dec,Zurich,138,6503
Dec,Geneva,145,6830
Dec,Basel,118,5569
Dec,Bern,141,6617
Dec,Zurich,251,11776
Dec,Geneva,235,11063
Dec,Basel,173,8122
Dec,Bern,178,8352
Dec,Zurich,226,10617
Dec,Geneva,178,8357
Dec,Basel,216,10166
Dec,Bern,248,11637
Dec,Zurich,223,10460
Dec,Geneva,182,8564
Dec,Basel,119,5578
Dec,Bern,125,5873
Dec,Zurich,124,5813
Dec,Geneva,174,8155
Dec,Basel,200,9382
Dec,Bern,538,25266
